zip,city,state,county
90250,Hawthorne,CA,Los Angeles
90251,Hawthorne,CA,Los Angeles
90254,Hermosa Beach,CA,Los Angeles
90255,Huntington Park,CA,Los Angeles
90260,Lawndale,CA,Los Angeles
90261,Lawndale,CA,Los Angeles
90262,Lynwood,CA,Los Angeles
90263,Malibu,CA,Los Angeles
90264,Malibu,CA,Los Angeles
90265,Malibu,CA,Los Angeles
90266,Manhattan Beach,CA,Los Angeles
90267,Manhattan Beach,CA,Los Angeles
90270,Maywood,CA,Los Angeles
90272,Pacific Palisades,CA,Los Angeles
90274,Palos Verdes Peninsula,CA,Los Angeles
90275,Rancho Palos Verdes,CA,Los Angeles
90277,Redondo Beach,CA,Los Angeles
90278,Redondo Beach,CA,Los Angeles
90280,South Gate,CA,Los Angeles
90290,Topanga,CA,Los Angeles
90291,Venice,CA,Los Angeles
90292,Marina Del Rey,CA,Los Angeles
90293,Playa Del Rey,CA,Los Angeles
90294,Venice,CA,Los Angeles
90295,Marina Del Rey,CA,Los Angeles
90296,Playa Del Rey,CA,Los Angeles
90301,Inglewood,CA,Los Angeles
90302,Inglewood,CA,Los Angeles
90303,Inglewood,CA,Los Angeles
90304,Inglewood,CA,Los Angeles
90305,Inglewood,CA,Los Angeles
90306,Inglewood,CA,Los Angeles
90307,Inglewood,CA,Los Angeles
90308,Inglewood,CA,Los Angeles
90309,Inglewood,CA,Los Angeles
90310,Inglewood,CA,Los Angeles
90311,Inglewood,CA,Los Angeles
90312,Inglewood,CA,Los Angeles
90313,Inglewood,CA,Los Angeles
90397,Inglewood,CA,Los Angeles
90398,Inglewood,CA,Los Angeles
90401,Santa Monica,CA,Los Angeles
90402,Santa Monica,CA,Los Angeles
90403,Santa Monica,CA,Los Angeles
90404,Santa Monica,CA,Los Angeles
90405,Santa Monica,CA,Los Angeles
90406,Santa Monica,CA,Los Angeles
90407,Santa Monica,CA,Los Angeles
90408,Santa Monica,CA,Los Angeles
90409,Santa Monica,CA,Los Angeles
90410,Santa Monica,CA,Los Angeles
90411,Santa Monica,CA,Los Angeles
90501,Torrance,CA,Los Angeles
90502,Torrance,CA,Los Angeles
90503,Torrance,CA,Los Angeles
90504,Torrance,CA,Los Angeles
90505,Torrance,CA,Los Angeles
90506,Torrance,CA,Los Angeles
90507,Torrance,CA,Los Angeles
90508,Torrance,CA,Los Angeles
90509,Torrance,CA,Los Angeles
90510,Torrance,CA,Los Angeles
90601,Whittier,CA,Los Angeles
90602,Whittier,CA,Los Angeles
90603,Whittier,CA,Los Angeles
90604,Whittier,CA,Los Angeles
90605,Whittier,CA,Los Angeles
90606,Whittier,CA,Los Angeles
90607,Whittier,CA,Los Angeles
90608,Whittier,CA,Los Angeles
90609,Whittier,CA,Los Angeles
90610,Whittier,CA,Los Angeles
90612,Whittier,CA,Los Angeles
90620,Buena Park,CA,Orange
90621,Buena Park,CA,Orange
90622,Buena Park,CA,Orange
90623,La Palma,CA,Orange
90624,Buena Park,CA,Orange
90630,Cypress,CA,Orange
90631,La Habra,CA,Orange
90632,La Habra,CA,Orange
90633,La Habra,CA,Orange
90637,La Mirada,CA,Los Angeles
90638,La Mirada,CA,Los Angeles
90639,La Mirada,CA,Los Angeles
90640,Montebello,CA,Los Angeles
90650,Norwalk,CA,Los Angeles
90651,Norwalk,CA,Los Angeles
90652,Norwalk,CA,Los Angeles
90659,Norwalk,CA,Los Angeles
90660,Pico Rivera,CA,Los Angeles
90661,Pico Rivera,CA,Los Angeles
90662,Pico Rivera,CA,Los Angeles
90670,Santa Fe Springs,CA,Los Angeles
90671,Santa Fe Springs,CA,Los Angeles
90680,Stanton,CA,Orange
90701,Artesia,CA,Los Angeles
90702,Artesia,CA,Los Angeles
90703,Cerritos,CA,Los Angeles
90704,Avalon,CA,Los Angeles
90706,Bellflower,CA,Los Angeles
90707,Bellflower,CA,Los Angeles
90710,Harbor City,CA,Los Angeles
90711,Lakewood,CA,Los Angeles
90712,Lakewood,CA,Los Angeles
90713,Lakewood,CA,Los Angeles
90714,Lakewood,CA,Los Angeles
90715,Lakewood,CA,Los Angeles
90716,Hawaiian Gardens,CA,Los Angeles
90717,Lomita,CA,Los Angeles
90720,Los Alamitos,CA,Orange
90721,Los Alamitos,CA,Orange
90723,Paramount,CA,Los Angeles
90731,San Pedro,CA,Los Angeles
90732,San Pedro,CA,Los Angeles
90733,San Pedro,CA,Los Angeles
90734,San Pedro,CA,Los Angeles
90740,Seal Beach,CA,Orange
90742,Sunset Beach,CA,Orange
90743,Surfside,CA,Orange
90744,Wilmington,CA,Los Angeles
90745,Carson,CA,Los Angeles
90746,Carson,CA,Los Angeles
90747,Carson,CA,Los Angeles
90748,Wilmington,CA,Los Angeles
90749,Carson,CA,Los Angeles
90755,Signal Hill,CA,Los Angeles
90801,Long Beach,CA,Los Angeles
90802,Long Beach,CA,Los Angeles
90803,Long Beach,CA,Los Angeles
90804,Long Beach,CA,Los Angeles
90805,Long Beach,CA,Los Angeles
90806,Long Beach,CA,Los Angeles
90807,Long Beach,CA,Los Angeles
90808,Long Beach,CA,Los Angeles
90809,Long Beach,CA,Los Angeles
90810,Long Beach,CA,Los Angeles
90813,Long Beach,CA,Los Angeles
90814,Long Beach,CA,Los Angeles
90815,Long Beach,CA,Los Angeles
90822,Long Beach,CA,Los Angeles
90831,Long Beach,CA,Los Angeles
90832,Long Beach,CA,Los Angeles
90833,Long Beach,CA,Los Angeles
90834,Long Beach,CA,Los Angeles
90835,Long Beach,CA,Los Angeles
90840,Long Beach,CA,Los Angeles
90842,Long Beach,CA,Los Angeles
90844,Long Beach,CA,Los Angeles
90845,Long Beach,CA,Los Angeles
90846,Long Beach,CA,Los Angeles
90847,Long Beach,CA,Los Angeles
90848,Long Beach,CA,Los Angeles
90853,Long Beach,CA,Los Angeles
90888,Long Beach,CA,Los Angeles
90895,Carson,CA,Los Angeles
90899,Long Beach,CA,Los Angeles
91001,Altadena,CA,Los Angeles
91003,Altadena,CA,Los Angeles
91006,Arcadia,CA,Los Angeles
91007,Arcadia,CA,Los Angeles
91009,Duarte,CA,Los Angeles
91010,Duarte,CA,Los Angeles
91011,La Canada Flintridge,CA,Los Angeles
91012,La Canada Flintridge,CA,Los Angeles
91016,Monrovia,CA,Los Angeles
91017,Monrovia,CA,Los Angeles
91020,Montrose,CA,Los Angeles
91021,Montrose,CA,Los Angeles
91023,Mount Wilson,CA,Los Angeles
91024,Sierra Madre,CA,Los Angeles
91025,Sierra Madre,CA,Los Angeles
91030,South Pasadena,CA,Los Angeles
91031,South Pasadena,CA,Los Angeles
91040,Sunland,CA,Los Angeles
91041,Sunland,CA,Los Angeles
91042,Tujunga,CA,Los Angeles
91043,Tujunga,CA,Los Angeles
91046,Verdugo City,CA,Los Angeles
91066,Arcadia,CA,Los Angeles
91077,Arcadia,CA,Los Angeles
91101,Pasadena,CA,Los Angeles
91102,Pasadena,CA,Los Angeles
91103,Pasadena,CA,Los Angeles
91104,Pasadena,CA,Los Angeles
91105,Pasadena,CA,Los Angeles
91106,Pasadena,CA,Los Angeles
91107,Pasadena,CA,Los Angeles
91108,San Marino,CA,Los Angeles
91109,Pasadena,CA,Los Angeles
91110,Pasadena,CA,Los Angeles
91114,Pasadena,CA,Los Angeles
91115,Pasadena,CA,Los Angeles
91116,Pasadena,CA,Los Angeles
91117,Pasadena,CA,Los Angeles
91118,San Marino,CA,Los Angeles
91121,Pasadena,CA,Los Angeles
91123,Pasadena,CA,Los Angeles
91124,Pasadena,CA,Los Angeles
91125,Pasadena,CA,Los Angeles
91126,Pasadena,CA,Los Angeles
91129,Pasadena,CA,Los Angeles
91131,Pasadena,CA,Los Angeles
91182,Pasadena,CA,Los Angeles
91184,Pasadena,CA,Los Angeles
91185,Pasadena,CA,Los Angeles
91188,Pasadena,CA,Los Angeles
91189,Pasadena,CA,Los Angeles
91191,Pasadena,CA,Los Angeles
91199,Pasadena,CA,Los Angeles
91201,Glendale,CA,Los Angeles
91202,Glendale,CA,Los Angeles
91203,Glendale,CA,Los Angeles
91204,Glendale,CA,Los Angeles
91205,Glendale,CA,Los Angeles
91206,Glendale,CA,Los Angeles
91207,Glendale,CA,Los Angeles
91208,Glendale,CA,Los Angeles
91209,Glendale,CA,Los Angeles
91210,Glendale,CA,Los Angeles
91214,La Crescenta,CA,Los Angeles
91221,Glendale,CA,Los Angeles
91222,Glendale,CA,Los Angeles
91224,La Crescenta,CA,Los Angeles
91225,Glendale,CA,Los Angeles
91226,Glendale,CA,Los Angeles
91301,Agoura Hills,CA,Los Angeles
91302,Calabasas,CA,Los Angeles
91303,Canoga Park,CA,Los Angeles
91304,Canoga Park,CA,Los Angeles
91305,Canoga Park,CA,Los Angeles
91306,Winnetka,CA,Los Angeles
91307,West Hills,CA,Los Angeles
91308,West Hills,CA,Los Angeles
91309,Canoga Park,CA,Los Angeles
91310,Castaic,CA,Los Angeles
91311,Chatsworth,CA,Los Angeles
91313,Chatsworth,CA,Los Angeles
91316,Encino,CA,Los Angeles
91319,Newbury Park,CA,Ventura
91320,Newbury Park,CA,Ventura
91321,Newhall,CA,Los Angeles
91322,Newhall,CA,Los Angeles
91324,Northridge,CA,Los Angeles
91325,Northridge,CA,Los Angeles
91326,Porter Ranch,CA,Los Angeles
91327,Northridge,CA,Los Angeles
91328,Northridge,CA,Los Angeles
91329,Northridge,CA,Los Angeles
91330,Northridge,CA,Los Angeles
91331,Pacoima,CA,Los Angeles
91333,Pacoima,CA,Los Angeles
91334,Pacoima,CA,Los Angeles
91335,Reseda,CA,Los Angeles
91337,Reseda,CA,Los Angeles
91340,San Fernando,CA,Los Angeles
91341,San Fernando,CA,Los Angeles
91342,Sylmar,CA,Los Angeles
91343,North Hills,CA,Los Angeles
91344,Granada Hills,CA,Los Angeles
91345,Mission Hills,CA,Los Angeles
91346,Mission Hills,CA,Los Angeles
91350,Santa Clarita,CA,Los Angeles
91351,Canyon Country,CA,Los Angeles
91352,Sun Valley,CA,Los Angeles
91353,Sun Valley,CA,Los Angeles
91354,Valencia,CA,Los Angeles
91355,Valencia,CA,Los Angeles
91356,Tarzana,CA,Los Angeles
91357,Tarzana,CA,Los Angeles
91358,Thousand Oaks,CA,Ventura
91359,Westlake Village,CA,Ventura
91360,Thousand Oaks,CA,Ventura
91361,Westlake Village,CA,Ventura
91362,Thousand Oaks,CA,Ventura
91363,Westlake Village,CA,Los Angeles
91364,Woodland Hills,CA,Los Angeles
91365,Woodland Hills,CA,Los Angeles
91367,Woodland Hills,CA,Los Angeles
91371,Woodland Hills,CA,Los Angeles
91372,Calabasas,CA,Los Angeles
91376,Agoura Hills,CA,Los Angeles
91377,Oak Park,CA,Ventura
91380,Santa Clarita,CA,Los Angeles
91381,Stevenson Ranch,CA,Los Angeles
91382,Santa Clarita,CA,Los Angeles
91383,Santa Clarita,CA,Los Angeles
91384,Castaic,CA,Los Angeles
91385,Valencia,CA,Los Angeles
91386,Canyon Country,CA,Los Angeles
91387,Canyon Country,CA,Los Angeles
91388,Van Nuys,CA,Los Angeles
91390,Santa Clarita,CA,Los Angeles
91392,Sylmar,CA,Los Angeles
91393,North Hills,CA,Los Angeles
91394,Granada Hills,CA,Los Angeles
91395,Mission Hills,CA,Los Angeles
91396,Winnetka,CA,Los Angeles
91399,Woodland Hills,CA,Los Angeles
91401,Van Nuys,CA,Los Angeles
91402,Panorama City,CA,Los Angeles
91403,Sherman Oaks,CA,Los Angeles
91404,Van Nuys,CA,Los Angeles
91405,Van Nuys,CA,Los Angeles
91406,Van Nuys,CA,Los Angeles
91407,Van Nuys,CA,Los Angeles
91408,Van Nuys,CA,Los Angeles
91409,Van Nuys,CA,Los Angeles
91410,Van Nuys,CA,Los Angeles
91411,Van Nuys,CA,Los Angeles
91412,Panorama City,CA,Los Angeles
91413,Sherman Oaks,CA,Los Angeles
91416,Encino,CA,Los Angeles
91423,Sherman Oaks,CA,Los Angeles
91426,Encino,CA,Los Angeles
91436,Encino,CA,Los Angeles
91470,Van Nuys,CA,Los Angeles
91482,Van Nuys,CA,Los Angeles
91495,Sherman Oaks,CA,Los Angeles
91496,Van Nuys,CA,Los Angeles
91497,Van Nuys,CA,Los Angeles
91499,Van Nuys,CA,Los Angeles
91501,Burbank,CA,Los Angeles
91502,Burbank,CA,Los Angeles
91503,Burbank,CA,Los Angeles
91504,Burbank,CA,Los Angeles
91505,Burbank,CA,Los Angeles
91506,Burbank,CA,Los Angeles
91507,Burbank,CA,Los Angeles
91508,Burbank,CA,Los Angeles
91510,Burbank,CA,Los Angeles
91521,Burbank,CA,Los Angeles
91522,Burbank,CA,Los Angeles
91523,Burbank,CA,Los Angeles
91526,Burbank,CA,Los Angeles
91601,North Hollywood,CA,Los Angeles
91602,North Hollywood,CA,Los Angeles
91603,North Hollywood,CA,Los Angeles
91604,Studio City,CA,Los Angeles
91605,North Hollywood,CA,Los Angeles
91606,North Hollywood,CA,Los Angeles
91607,Valley Village,CA,Los Angeles
91608,Universal City,CA,Los Angeles
91609,North Hollywood,CA,Los Angeles
91610,Toluca Lake,CA,Los Angeles
91611,North Hollywood,CA,Los Angeles
91612,North Hollywood,CA,Los Angeles
91614,Studio City,CA,Los Angeles
91615,North Hollywood,CA,Los Angeles
91616,North Hollywood,CA,Los Angeles
91617,Valley Village,CA,Los Angeles
91618,North Hollywood,CA,Los Angeles
91701,Rancho Cucamonga,CA,San Bernardino
91702,Azusa,CA,Los Angeles
91706,Baldwin Park,CA,Los Angeles
91708,Chino,CA,San Bernardino
91709,Chino Hills,CA,San Bernardino
91710,Chino,CA,San Bernardino
91711,Claremont,CA,Los Angeles
91714,City Of Industry,CA,Los Angeles
91715,City Of Industry,CA,Los Angeles
91716,City Of Industry,CA,Los Angeles
91722,Covina,CA,Los Angeles
91723,Covina,CA,Los Angeles
91724,Covina,CA,Los Angeles
91729,Rancho Cucamonga,CA,San Bernardino
91730,Rancho Cucamonga,CA,San Bernardino
91731,El Monte,CA,Los Angeles
91732,El Monte,CA,Los Angeles
91733,South El Monte,CA,Los Angeles
91734,El Monte,CA,Los Angeles
91735,El Monte,CA,Los Angeles
91737,Rancho Cucamonga,CA,San Bernardino
91739,Rancho Cucamonga,CA,San Bernardino
91740,Glendora,CA,Los Angeles
91741,Glendora,CA,Los Angeles
91743,Guasti,CA,San Bernardino
91744,La Puente,CA,Los Angeles
91745,Hacienda Heights,CA,Los Angeles
91746,La Puente,CA,Los Angeles
91747,La Puente,CA,Los Angeles
91748,Rowland Heights,CA,Los Angeles
91749,La Puente,CA,Los Angeles
91750,La Verne,CA,Los Angeles
91752,Mira Loma,CA,Riverside
91754,Monterey Park,CA,Los Angeles
91755,Monterey Park,CA,Los Angeles
91756,Monterey Park,CA,Los Angeles
91758,Ontario,CA,San Bernardino
91759,Mt Baldy,CA,Los Angeles
91761,Ontario,CA,San Bernardino
91762,Ontario,CA,San Bernardino
91763,Montclair,CA,San Bernardino
91764,Ontario,CA,San Bernardino
91765,Diamond Bar,CA,Los Angeles
91766,Pomona,CA,Los Angeles
91767,Pomona,CA,Los Angeles
91768,Pomona,CA,Los Angeles
91769,Pomona,CA,Los Angeles
91770,Rosemead,CA,Los Angeles
91771,Rosemead,CA,Los Angeles
91772,Rosemead,CA,Los Angeles
91773,San Dimas,CA,Los Angeles
91775,San Gabriel,CA,Los Angeles
91776,San Gabriel,CA,Los Angeles
91778,San Gabriel,CA,Los Angeles
91780,Temple City,CA,Los Angeles
91784,Upland,CA,San Bernardino
91785,Upland,CA,San Bernardino
91786,Upland,CA,San Bernardino
91788,Walnut,CA,Los Angeles
91789,Walnut,CA,Los Angeles
91790,West Covina,CA,Los Angeles
91791,West Covina,CA,Los Angeles
91792,West Covina,CA,Los Angeles
91793,West Covina,CA,Los Angeles
91795,Walnut,CA,Los Angeles
91797,Pomona,CA,Los Angeles
91798,Ontario,CA,San Bernardino
91799,Pomona,CA,Los Angeles
91801,Alhambra,CA,Los Angeles
91802,Alhambra,CA,Los Angeles
91803,Alhambra,CA,Los Angeles
91804,Alhambra,CA,Los Angeles
91841,Alhambra,CA,Los Angeles
91896,Alhambra,CA,Los Angeles
91899,Alhambra,CA,Los Angeles
91901,Alpine,CA,San Diego
91902,Bonita,CA,San Diego
91903,Alpine,CA,San Diego
91905,Boulevard,CA,San Diego
91906,Campo,CA,San Diego
91908,Bonita,CA,San Diego
91909,Chula Vista,CA,San Diego
91910,Chula Vista,CA,San Diego
91911,Chula Vista,CA,San Diego
91912,Chula Vista,CA,San Diego
91913,Chula Vista,CA,San Diego
91914,Chula Vista,CA,San Diego
91915,Chula Vista,CA,San Diego
91916,Descanso,CA,San Diego
91917,Dulzura,CA,San Diego
91921,Chula Vista,CA,San Diego
91931,Guatay,CA,San Diego
91932,Imperial Beach,CA,San Diego
91933,Imperial Beach,CA,San Diego
91934,Jacumba,CA,San Diego
91935,Jamul,CA,San Diego
91941,La Mesa,CA,San Diego
91942,La Mesa,CA,San Diego
91943,La Mesa,CA,San Diego
91944,La Mesa,CA,San Diego
91945,Lemon Grove,CA,San Diego
91946,Lemon Grove,CA,San Diego
91947,Lincoln Acres,CA,San Diego
91948,Mount Laguna,CA,San Diego
91950,National City,CA,San Diego
91951,National City,CA,San Diego
91962,Pine Valley,CA,San Diego
91963,Potrero,CA,San Diego
91976,Spring Valley,CA,San Diego
91977,Spring Valley,CA,San Diego
91978,Spring Valley,CA,San Diego
91979,Spring Valley,CA,San Diego
91980,Tecate,CA,San Diego
91987,Tecate,CA,San Diego
91990,Potrero,CA,San Diego
92003,Bonsall,CA,San Diego
92004,Borrego Springs,CA,San Diego
92007,Cardiff By The Sea,CA,San Diego
92008,Carlsbad,CA,San Diego
92009,Carlsbad,CA,San Diego
92010,Carlsbad,CA,San Diego
92011,Carlsbad,CA,San Diego
92013,Carlsbad,CA,San Diego
92014,Del Mar,CA,San Diego
92018,Carlsbad,CA,San Diego
92019,El Cajon,CA,San Diego
92020,El Cajon,CA,San Diego
92021,El Cajon,CA,San Diego
92022,El Cajon,CA,San Diego
92023,Encinitas,CA,San Diego
92024,Encinitas,CA,San Diego
92025,Escondido,CA,San Diego
92026,Escondido,CA,San Diego
92027,Escondido,CA,San Diego
92028,Fallbrook,CA,San Diego
92029,Escondido,CA,San Diego
92030,Escondido,CA,San Diego
92033,Escondido,CA,San Diego
92036,Julian,CA,San Diego
92037,La Jolla,CA,San Diego
92038,La Jolla,CA,San Diego
92039,La Jolla,CA,San Diego
92040,Lakeside,CA,San Diego
92046,Escondido,CA,San Diego
92049,Oceanside,CA,San Diego
92051,Oceanside,CA,San Diego
92052,Oceanside,CA,San Diego
92054,Oceanside,CA,San Diego
92055,Camp Pendleton,CA,San Diego
92056,Oceanside,CA,San Diego
92057,Oceanside,CA,San Diego
92059,Pala,CA,San Diego
92060,Palomar Mountain,CA,San Diego
92061,Pauma Valley,CA,San Diego
92064,Poway,CA,San Diego
92065,Ramona,CA,San Diego
92066,Ranchita,CA,San Diego
92067,Rancho Santa Fe,CA,San Diego
92068,San Luis Rey,CA,San Diego
92069,San Marcos,CA,San Diego
92070,Santa Ysabel,CA,San Diego
92071,Santee,CA,San Diego
92072,Santee,CA,San Diego
92074,Poway,CA,San Diego
92075,Solana Beach,CA,San Diego
92078,San Marcos,CA,San Diego
92079,San Marcos,CA,San Diego
92081,Vista,CA,San Diego
92082,Valley Center,CA,San Diego
92083,Vista,CA,San Diego
92084,Vista,CA,San Diego
92085,Vista,CA,San Diego
92086,Warner Springs,CA,San Diego
92088,Fallbrook,CA,San Diego
92090,El Cajon,CA,San Diego
92091,Rancho Santa Fe,CA,San Diego
92092,La Jolla,CA,San Diego
92093,La Jolla,CA,San Diego
92096,San Marcos,CA,San Diego
92101,San Diego,CA,San Diego
92102,San Diego,CA,San Diego
92103,San Diego,CA,San Diego
92104,San Diego,CA,San Diego
92105,San Diego,CA,San Diego
92106,San Diego,CA,San Diego
92107,San Diego,CA,San Diego
92108,San Diego,CA,San Diego
92109,San Diego,CA,San Diego
92110,San Diego,CA,San Diego
92111,San Diego,CA,San Diego
92112,San Diego,CA,San Diego
92113,San Diego,CA,San Diego
92114,San Diego,CA,San Diego
92115,San Diego,CA,San Diego
92116,San Diego,CA,San Diego
92117,San Diego,CA,San Diego
92118,Coronado,CA,San Diego
92119,San Diego,CA,San Diego
92120,San Diego,CA,San Diego
92121,San Diego,CA,San Diego
92122,San Diego,CA,San Diego
92123,San Diego,CA,San Diego
92124,San Diego,CA,San Diego
92126,San Diego,CA,San Diego
92127,San Diego,CA,San Diego
92128,San Diego,CA,San Diego
92129,San Diego,CA,San Diego
92130,San Diego,CA,San Diego
92131,San Diego,CA,San Diego
92132,San Diego,CA,San Diego
92133,San Diego,CA,San Diego
92134,San Diego,CA,San Diego
92135,San Diego,CA,San Diego
92136,San Diego,CA,San Diego
92137,San Diego,CA,San Diego
92138,San Diego,CA,San Diego
92139,San Diego,CA,San Diego
92140,San Diego,CA,San Diego
92142,San Diego,CA,San Diego
92143,San Ysidro,CA,San Diego
92145,San Diego,CA,San Diego
92147,San Diego,CA,San Diego
92149,San Diego,CA,San Diego
92150,San Diego,CA,San Diego
92152,San Diego,CA,San Diego
92153,San Diego,CA,San Diego
92154,San Diego,CA,San Diego
92155,San Diego,CA,San Diego
92158,San Diego,CA,San Diego
92159,San Diego,CA,San Diego
92160,San Diego,CA,San Diego
92161,San Diego,CA,San Diego
92162,San Diego,CA,San Diego
92163,San Diego,CA,San Diego
92164,San Diego,CA,San Diego
92165,San Diego,CA,San Diego
92166,San Diego,CA,San Diego
92167,San Diego,CA,San Diego
92168,San Diego,CA,San Diego
92169,San Diego,CA,San Diego
92170,San Diego,CA,San Diego
92171,San Diego,CA,San Diego
92172,San Diego,CA,San Diego
92173,San Ysidro,CA,San Diego
92174,San Diego,CA,San Diego
92175,San Diego,CA,San Diego
92176,San Diego,CA,San Diego
92177,San Diego,CA,San Diego
92178,Coronado,CA,San Diego
92179,San Diego,CA,San Diego
92182,San Diego,CA,San Diego
92184,San Diego,CA,San Diego
92186,San Diego,CA,San Diego
92187,San Diego,CA,San Diego
92190,San Diego,CA,San Diego
92191,San Diego,CA,San Diego
92192,San Diego,CA,San Diego
92193,San Diego,CA,San Diego
92194,San Diego,CA,San Diego
92195,San Diego,CA,San Diego
92196,San Diego,CA,San Diego
92197,San Diego,CA,San Diego
92198,San Diego,CA,San Diego
92199,San Diego,CA,San Diego
92201,Indio,CA,Riverside
92202,Indio,CA,Riverside
92203,Indio,CA,Riverside
92210,Indian Wells,CA,Riverside
92211,Palm Desert,CA,Riverside
92220,Banning,CA,Riverside
92222,Bard,CA,Imperial
92223,Beaumont,CA,Riverside
92225,Blythe,CA,Riverside
92226,Blythe,CA,Riverside
92227,Brawley,CA,Imperial
92230,Cabazon,CA,Riverside
92231,Calexico,CA,Imperial
92232,Calexico,CA,Imperial
92233,Calipatria,CA,Imperial
92234,Cathedral City,CA,Riverside
92235,Cathedral City,CA,Riverside
92236,Coachella,CA,Riverside
